yield_strength_MPa,uts_MPa,elongation_pct,reduction_area_pct,charpy_temp_C,charpy_toughness_J
427.0,499.0,34.6,80.5,-42.0,100.0
500.0,731.0,28.0,49.0,11.0,35.0
434.0,515.0,29.8,78.9,-67.0,100.0
515.0,737.0,26.0,48.0,0.0,35.0
592.0,671.0,22.8,72.0,28.0,100.0
489.0,807.0,27.0,42.0,51.0,35.0
372.0,497.0,31.4,76.4,-81.0,100.0
365.0,465.0,30.4,79.8,-56.0,100.0
483.0,576.0,25.2,76.0,-22.0,100.0
399.0,492.0,32.2,80.7,-56.0,100.0
553.0,627.0,22.0,76.8,-31.0,100.0
479.0,576.0,27.4,76.9,-38.0,100.0
521.0,599.0,28.4,74.0,-38.0,100.0
527.0,600.0,26.0,75.0,-60.0,100.0
381.0,500.0,30.4,78.9,-49.0,100.0
402.0,498.0,18.0,70.0,7.0,70.0
441.0,557.0,16.0,69.0,34.0,70.0
523.0,714.0,30.0,53.0,-5.0,35.0
466.0,761.0,29.0,44.0,37.0,35.0
370.0,456.0,35.2,80.6,-32.0,100.0
577.0,661.0,21.6,71.9,-15.0,100.0
398.0,488.0,32.2,80.7,-54.0,100.0
413.0,498.0,31.2,80.6,-44.0,100.0
443.0,521.0,31.8,77.8,-51.0,100.0
410.0,486.0,34.8,80.6,-47.0,100.0
450.0,506.0,28.8,77.8,-14.0,100.0
427.0,514.0,29.2,77.9,-12.0,100.0
486.0,556.0,28.6,77.0,-41.0,100.0
351.0,457.0,31.6,79.8,-54.0,100.0
498.0,621.0,16.0,70.0,16.0,70.0
584.0,677.0,26.6,70.8,56.0,100.0
372.0,497.0,31.4,76.4,-81.0,100.0
411.0,493.0,33.6,79.7,-40.0,100.0
436.0,529.0,31.6,78.8,-58.0,100.0
479.0,576.0,27.4,76.9,-36.0,100.0
414.0,518.0,29.2,78.4,-71.0,100.0
471.0,565.0,27.8,78.0,-57.0,100.0
474.0,575.0,29.4,78.0,-61.0,100.0
329.0,447.0,36.4,80.5,-54.0,100.0
370.0,456.0,35.2,80.6,-38.0,100.0
370.0,456.0,35.2,80.6,-30.0,100.0
570.0,650.0,24.0,68.7,-2.0,100.0
414.0,518.0,29.2,78.4,-71.0,100.0
605.0,683.0,19.8,71.9,-3.0,100.0
542.0,625.0,19.0,64.0,-7.0,70.0
638.0,716.0,17.2,68.6,4.0,100.0
493.0,618.0,18.0,75.0,-6.0,70.0
458.0,547.0,25.6,76.0,-28.0,100.0
419.0,507.0,33.4,80.7,-61.0,100.0
471.0,568.0,26.2,77.0,-31.0,100.0
402.0,490.0,31.0,80.6,-44.0,100.0
429.0,532.0,27.4,78.9,-57.0,100.0
546.0,869.0,21.0,28.0,55.0,35.0
415.0,497.0,24.6,78.7,-38.0,100.0
429.0,537.0,22.0,75.0,-15.0,70.0
484.0,576.0,23.0,74.9,-4.0,100.0
359.0,480.0,29.4,80.3,-80.0,100.0
521.0,612.0,26.0,74.0,1.0,100.0
522.0,709.0,30.0,54.0,-11.0,35.0
583.0,651.0,22.6,71.9,-27.0,100.0
447.0,540.0,30.4,77.0,-55.0,100.0
523.0,602.0,25.6,75.0,-59.0,100.0
479.0,576.0,27.4,76.9,-40.0,100.0
455.0,533.0,28.4,77.9,-67.0,100.0
539.0,607.0,25.0,76.0,-41.0,100.0
460.0,536.0,28.8,77.0,-35.0,100.0
414.0,518.0,29.2,78.4,-71.0,100.0
333.0,450.0,30.4,78.9,-53.0,100.0
603.0,676.0,19.8,70.8,8.0,100.0
448.0,525.0,32.0,78.8,-50.0,100.0
538.0,609.0,25.4,75.0,-40.0,100.0
411.0,475.0,30.6,79.7,-24.0,100.0
542.0,597.0,26.6,75.0,-39.0,100.0
375.0,470.0,32.4,79.8,-56.0,100.0
436.0,529.0,31.6,78.8,-49.0,100.0
451.0,539.0,24.4,78.0,-27.0,100.0
381.0,484.0,31.6,78.0,-51.0,100.0
478.0,554.0,27.2,78.0,-51.0,100.0
574.0,642.0,22.6,73.0,-36.0,100.0
413.0,508.0,27.0,79.8,-60.0,100.0
372.0,497.0,31.4,76.4,-81.0,100.0
446.0,533.0,32.2,80.6,-57.0,100.0
402.0,490.0,31.0,80.6,-44.0,100.0
481.0,561.0,29.1,76.9,-44.0,100.0
462.0,638.0,31.0,67.0,-28.0,35.0
492.0,575.0,25.2,76.0,-41.0,100.0
371.0,452.0,34.2,79.7,-36.0,100.0
372.0,480.0,30.5,78.9,-66.0,100.0
548.0,630.0,26.0,72.0,-17.0,100.0
431.0,518.0,32.2,76.9,-41.0,100.0
470.0,557.0,30.2,76.0,-20.0,100.0
390.0,465.0,34.8,80.6,-31.0,100.0
525.0,600.0,29.6,77.0,-37.0,100.0
