target,version,champion_model,val_f1,val_acc,test_f1,test_acc
yield_strength_MPa,all_features,SelfTraining,71.45,71.79,72.91,73.08
yield_strength_MPa,pca,SelfTraining,65.93,66.67,67.8,67.95
uts_MPa,all_features,SelfTraining,77.57,77.7,80.19,79.73
uts_MPa,pca,SelfTraining,71.7,71.62,74.32,73.65
elongation_pct,all_features,RF + SelfTraining,68.64,68.57,68.78,68.57
elongation_pct,pca,RF + SelfTraining,72.14,72.14,65.7,65.71
reduction_area_pct,all_features,RF + LabelPropagation,75.46,76.6,79.23,80.14
reduction_area_pct,pca,SelfTraining,76.64,77.3,78.6,79.43
charpy_temp_C,all_features,RF + SelfTraining,59.91,60.23,50.25,50.57
charpy_temp_C,pca,LabelSpreading,56.51,56.82,52.66,52.84
charpy_toughness_J,all_features,RF + LabelPropagation,61.5,63.64,60.46,60.23
charpy_toughness_J,pca,LabelPropagation,62.83,64.77,62.85,63.07
