base_estimator,threshold,max_iter,verbose,val_f1_score
LogisticRegression,0.8,50,False,0.5973067869674783
LogisticRegression,0.8,20,False,0.5973067869674783
LogisticRegression,0.9,10,False,0.5881095283438242
LogisticRegression,0.8,10,False,0.5858378177520304
LogisticRegression,0.7,10,False,0.5858378177520304
LogisticRegression,0.7,50,False,0.5834383004688029
LogisticRegression,0.7,20,False,0.5834383004688029
LogisticRegression,0.9,50,False,0.5814068296390454
LogisticRegression,0.9,20,False,0.5814068296390454
LogisticRegression,0.6,20,False,0.5767731118740927
LogisticRegression,0.6,50,False,0.5767731118740927
LogisticRegression,0.6,10,False,0.5767731118740927
RandomForestClassifier,0.8,50,False,0.5490087627971543
RandomForestClassifier,0.8,20,False,0.5490087627971543
RandomForestClassifier,0.8,10,False,0.5490087627971543
RandomForestClassifier,0.6,20,False,0.5407199411672833
RandomForestClassifier,0.7,50,False,0.5407199411672833
RandomForestClassifier,0.7,20,False,0.5407199411672833
RandomForestClassifier,0.7,10,False,0.5407199411672833
RandomForestClassifier,0.6,50,False,0.5407199411672833
RandomForestClassifier,0.6,10,False,0.5407199411672833
RandomForestClassifier,0.9,50,False,0.5208936284303932
RandomForestClassifier,0.9,20,False,0.5208936284303932
RandomForestClassifier,0.9,10,False,0.5208936284303932
