kernel,gamma,max_iter,alpha,val_f1_score,n_neighbors
knn,,2000,0.1,0.7320008596604342,10.0
knn,,2000,0.3,0.7257376939347824,10.0
knn,,2000,0.2,0.7257376939347824,10.0
knn,,2000,0.5,0.7194596783312822,10.0
knn,,2000,0.3,0.71406562465611,7.0
knn,,2000,0.2,0.71406562465611,7.0
knn,,2000,0.1,0.71406562465611,7.0
knn,,2000,0.5,0.71406562465611,7.0
knn,,2000,0.3,0.6888235294117647,3.0
knn,,2000,0.2,0.6888235294117647,3.0
knn,,2000,0.1,0.6888235294117647,3.0
knn,,2000,0.5,0.680122372456784,3.0
knn,,2000,0.5,0.6685949923382759,5.0
knn,,2000,0.3,0.6486077839360048,5.0
knn,,2000,0.2,0.6486077839360048,5.0
knn,,2000,0.1,0.6486077839360048,5.0
rbf,5.0,2000,0.2,0.5046192251183544,
rbf,5.0,2000,0.1,0.5046192251183544,
rbf,5.0,2000,0.3,0.5046192251183544,
rbf,5.0,2000,0.5,0.5046192251183544,
rbf,10.0,2000,0.1,0.49744692853817607,
rbf,10.0,2000,0.3,0.49744692853817607,
rbf,10.0,2000,0.2,0.49744692853817607,
rbf,10.0,2000,0.5,0.4886354310035525,
rbf,20.0,2000,0.2,0.45301100460942034,
rbf,20.0,2000,0.5,0.45301100460942034,
rbf,20.0,2000,0.3,0.45301100460942034,
rbf,20.0,2000,0.1,0.45301100460942034,
rbf,30.0,2000,0.5,0.43754120015902936,
rbf,30.0,2000,0.3,0.43754120015902936,
rbf,30.0,2000,0.2,0.43754120015902936,
rbf,30.0,2000,0.1,0.43754120015902936,
rbf,50.0,2000,0.2,0.4085855519594969,
rbf,50.0,2000,0.5,0.4085855519594969,
rbf,50.0,2000,0.1,0.4085855519594969,
rbf,50.0,2000,0.3,0.4085855519594969,
